CustomerID,First_Name,Last_Name,Phone_Number,Address,Paying Customer,Do_Not_Contact,Street_Address,State,Zip_Code
1001,Frodo,Baggins,123-545-542,"123 Shire Lane, Shire",Yes,No,123 Shire Lane, Shire,
1005,Jon,Snow,876-678-346,123 Dragons Road,Yes,No,123 Dragons Road,,
1008,Sherlock,Holmes,876-678-346,98 Clue Drive,No,No,98 Clue Drive,,
1010,Peter,Parker,123-545-542,"25th Main Street, New York",Yes,No,25th Main Street, New York,
1013,Don,Draper,123-543-234,2039 Main Street,Yes,No,2039 Main Street,,
1014,Leslie,Knope,876-678-346,343 City Parkway,Yes,No,343 City Parkway,,
1015,Toby,Flenderson,304-762-246,214 HR Avenue,No,No,214 HR Avenue,,
1016,Ron,Weasley,123-545-542,2395 Hogwarts Avenue,No,No,2395 Hogwarts Avenue,,
1017,Michael ,Scott,123-643-977,"121 Paper Avenue, Pennsylvania",Yes,No,121 Paper Avenue, Pennsylvania,
1020,Anakin,Skywalker,876-678-346,"910 Tatooine Road, Tatooine",Yes,No,910 Tatooine Road, Tatooine,
